taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory	sinacCategory
2442225	Chelonia mydas (Linnaeus, 1758)	2442225	Chelonia mydas (Linnaeus, 1758)	275	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Cheloniidae	9413	Chelonia	2441864	Chelonia mydas	2442225	EN	PE
2445970	Phyllodactylus eduardofischeri Mertens, 1952	5959817	Phyllodactylus tuberculosus Wiegmann, 1834	3	SPECIES	SYNONYM	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Phyllodactylidae	5789853	Phyllodactylus	2446566	Phyllodactylus tuberculosus	5959817	NE	PE
7190833	Phyllodactylus tuberculosus tuberculosus	7190833	Phyllodactylus tuberculosus tuberculosus	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Phyllodactylidae	5789853	Phyllodactylus	2446566	Phyllodactylus tuberculosus	5959817		PE
5959817	Phyllodactylus tuberculosus Wiegmann, 1834	5959817	Phyllodactylus tuberculosus Wiegmann, 1834	61	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Phyllodactylidae	5789853	Phyllodactylus	2446566	Phyllodactylus tuberculosus	5959817	LC	PE
8894817	Caretta caretta (Linnaeus, 1758)	8894817	Caretta caretta (Linnaeus, 1758)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Cheloniidae	9413	Caretta	2442177	Caretta caretta	8894817	VU	PE
5787070	Mazama cerasina Hollister, 1914	7261373	Mazama temama (Kerr, 1792)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Cervidae	5298	Mazama	2440920	Mazama temama	7261373	DD	PR
4263039	Cuniculus paca (Linnaeus, 1766)	4263039	Cuniculus paca (Linnaeus, 1766)	29	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cuniculidae	3240591	Cuniculus	3240592	Cuniculus paca	4263039	LC	PR
4832212	Lonchophylla concava Goldman, 1914	4832212	Lonchophylla concava Goldman, 1914	11	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Lonchophylla	2433223	Lonchophylla concava	4832212	LC	PR
5706517	Cuniculus paca virgata (Bangs, 1902)	5706517	Cuniculus paca virgata (Bangs, 1902)	7	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cuniculidae	3240591	Cuniculus	3240592	Cuniculus paca	4263039		PR
2439310	Oecomys trinitatis (J.A.Allen & Chapman, 1893)	2439310	Oecomys trinitatis (J.A.Allen & Chapman, 1893)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Oecomys	2439306	Oecomys trinitatis	2439310	LC	PR
2434825	Spilogale angustifrons Howell, 1902	2434825	Spilogale angustifrons Howell, 1902	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Mephitidae	9679	Spilogale	2434820	Spilogale angustifrons	2434825	LC	PR
4265371	Trinycteris nicefori (Sanborn, 1949)	4265371	Trinycteris nicefori (Sanborn, 1949)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Trinycteris	4265370	Trinycteris nicefori	4265371	LC	PR
5218753	Chrotopterus auritus (Peters, 1856)	5218753	Chrotopterus auritus (Peters, 1856)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Chrotopterus	2433181	Chrotopterus auritus	5218753	LC	PR
5218815	Procyon cancrivorus panamensis (Goldman, 1913)	5218815	Procyon cancrivorus panamensis (Goldman, 1913)	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon cancrivorus	9518324		PR
2433585	Bassaricyon gabbii J.A.Allen, 1876	2433585	Bassaricyon gabbii J.A.Allen, 1876	50	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Bassaricyon	2433581	Bassaricyon gabbii	2433585	LC	PR
2432769	Furipterus horrens (F.Cuvier, 1828)	2432769	Furipterus horrens (F.Cuvier, 1828)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Furipteridae	5717	Furipterus	2432768	Furipterus horrens	2432769	LC	PR
2440996	Tayassu tajacu (Linnaeus, 1758)	2440995	Pecari tajacu (Linnaeus, 1758)	18	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Tayassuidae	5303	Pecari	2440994	Pecari tajacu	2440995	NE	PR
9518324	Procyon cancrivorus G	9518324	Procyon cancrivorus G	57	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon cancrivorus	9518324	LC	PR
5219491	Cryptotis merriami Choate, 1970	5219491	Cryptotis merriami Choate, 1970	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Soricomorpha	803	Soricidae	5534	Cryptotis	2435817	Cryptotis merriami	5219491	LC	PR
4263143	Liomys salvini vulcani (J.A.Allen, 1908)	4263143	Liomys salvini vulcani (J.A.Allen, 1908)	9	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Heteromyidae	5504	Liomys	2439503	Liomys salvini	2439506		PR
4264675	Orthogeomys heterodus dolichocephalus (Merriam, 1895)	4264675	Orthogeomys heterodus dolichocephalus (Merriam, 1895)	3	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Geomyidae	9437	Orthogeomys	2439401	Orthogeomys heterodus	2439411		PR
2436326	Cyclopes didactylus (Linnaeus, 1758)	2436326	Cyclopes didactylus (Linnaeus, 1758)	10	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Pilosa	1494	Cyclopedidae	5482	Cyclopes	2436325	Cyclopes didactylus	2436326	LC	PR
